Algorithm;Tamanho do Número;Numero Primo gerado;Tempo para gerar
Fermat;223;9962015567094615845861135935145755238918360241264481523790066329047;0.6174999980430584 ms
Fermat;256;77732965734808310518245166148996510659133856802778505376550110435149139753573;0.7279999990714714 ms
Fermat;254;17798638798536938516429941812089375189503311598708833354091631326955381052611;0.6724000013491604 ms
Fermat;255;33753468463321090184980083138338140770922082684202021635763539071901884255247;0.6847999975434504 ms
Fermat;512;8086607476186857671078009470662968660874098304020189647222138369078138260050422694637060380867872513089172363243452169966204407137978463448787182299300817;3.202300002158154 ms
Fermat;511;6045877951781531313273353981684821043842479972302784694112436196933704628363583475252417140705053413890721646132942094774743107644994160158702892805371799;3.388600001926534 ms
Fermat;510;2188243641846226365796138253732794211766933624991645200568694365277648026295491284113177656184906713820894041773460151597266236162453385724051893394948641;3.0712999978277367 ms
Fermat;512;6857187404520383857841023250925792781807463775035841958029913184887261433354324377731743940165595855023313066567943947367201775286061654650726164541079123;3.341699997690739 ms
Fermat;1023;48949810424236441421202000594200120410929699639765947826066302642661199455314856838483640990013671813970143152111261608745173953525289647022074127317233117259639624801527332271341969570717364776107197935760059490192131226201979505465576277326583041650435664097707745330877569488111521927071915336211351249473;18.728600000031292 ms
Fermat;2048;22005113538599533332712504980389722200423364440221652331567079559418971872255568194079435408504003277481335790143678305117932468817246917953734050599561747500355514121008507222162742873271902471414196602499121838603619893028454338652843635811457074742733918994390853888253832784512581084319247265520167659346142515288245559398432598052683755044107691252870279741194373616035805531345980165029523157860252985495848149935621660647027068589139914218994392900531956550603970190868282084530478149122918922061875818300541251823199009388751955784880287607119447141025127518917551371986598661850084100419177653135758900855757;121.50159999873722 ms
